Target RPS,Achieved RPS,P99 Latency (us),SLO Status
10000,9921.210305572198,168,PASS
20000,19866.44040726692,342,PASS
30000,29819.71634039153,715,PASS
40000,39704.051087607266,1002,PASS
50000,49683.501347439866,1078,PASS
60000,59584.464856230035,1089,PASS
70000,69455.62543675752,1206,PASS
75000,72708.6244759433,1435,PASS
80000,72342.91417165668,1441,PASS
90000,72012.67212133306,1452,PASS
100000,72499.65073345974,1425,PASS
