Target RPS,Achieved RPS,P99 Latency (us),SLO Status
10000,9937.712118187263,420,PASS
20000,19846.046325878593,893,PASS
30000,29764.400519117502,2365,PASS
40000,39661.70595285657,1803,PASS
50000,49595.691632592,2411,FAIL
60000,59423.9369135556,1838,PASS
70000,67852.06628069475,1848,PASS
75000,55508.677438659484,2347,PASS
80000,68419.94410061889,1743,PASS
90000,71953.73417090438,1691,PASS
100000,63948.712831770106,2087,PASS
