,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),CXL.mem_P0Write,CXL.cache_P0hst->dv,DRAMRead,DRAMWrite,PMMREAD,PMMWrite,CXLRead,Read,Write,Memory
2026-01-14,17:58:22.745,   91.93,   23.65,    0.00,    0.00,,,,,   90.92,   22.90,    0.00,    0.00,,,,,   90.83,   22.69,    0.00,    0.00,,,,,   91.69,   23.35,    0.00,    0.00,,,,,  365.37,   92.59,    0.00,    0.00,  457.96,   48.41,   16.81,    0.00,    0.00,,,,,   48.00,   16.99,    0.00,    0.00,,,,,   47.32,   16.59,    0.00,    0.00,,,,,   48.61,   16.86,    0.00,    0.00,,,,,  192.35,   67.25,    0.00,    0.00,  259.60,12159.98,    0.00,    557.71,    159.85,      0.00,      0.00,  14514.39,    557.71,    159.85,    717.56
2026-01-14,17:58:23.745,   54.74,   23.15,    0.00,    0.00,,,,,   53.57,   22.19,    0.00,    0.00,,,,,   53.43,   21.96,    0.00,    0.00,,,,,   54.36,   22.79,    0.00,    0.00,,,,,  216.10,   90.10,    0.00,    0.00,  306.20,   67.78,   20.43,    0.00,    0.00,,,,,   67.81,   21.00,    0.00,    0.00,,,,,   67.14,   20.62,    0.00,    0.00,,,,,   68.13,   20.62,    0.00,    0.00,,,,,  270.86,   82.67,    0.00,    0.00,  353.53, 9617.21,    0.00,    486.96,    172.76,      0.00,      0.00,  10350.25,    486.96,    172.76,    659.72
2026-01-14,17:58:24.745,   49.97,   24.44,    0.00,    0.00,,,,,   49.62,   23.98,    0.00,    0.00,,,,,   49.51,   23.81,    0.00,    0.00,,,,,   49.59,   24.17,    0.00,    0.00,,,,,  198.69,   96.41,    0.00,    0.00,  295.09,   50.27,   17.70,    0.00,    0.00,,,,,   50.02,   18.12,    0.00,    0.00,,,,,   49.65,   17.52,    0.00,    0.00,,,,,   50.42,   17.71,    0.00,    0.00,,,,,  200.36,   71.04,    0.00,    0.00,  271.40, 9933.97,    0.00,    399.04,    167.45,      0.00,      0.00,  11622.52,    399.04,    167.45,    566.49
2026-01-14,17:58:25.745,   36.15,   18.86,    0.00,    0.00,,,,,   35.28,   18.08,    0.00,    0.00,,,,,   34.95,   17.83,    0.00,    0.00,,,,,   35.78,   18.53,    0.00,    0.00,,,,,  142.16,   73.30,    0.00,    0.00,  215.45,   89.82,   19.34,    0.00,    0.00,,,,,   89.51,   19.68,    0.00,    0.00,,,,,   89.37,   19.33,    0.00,    0.00,,,,,   90.23,   19.53,    0.00,    0.00,,,,,  358.93,   77.88,    0.00,    0.00,  436.82, 9124.73,    0.00,    501.09,    151.18,      0.00,      0.00,  14018.23,    501.09,    151.18,    652.27
2026-01-14,17:58:26.746,   36.42,   19.22,    0.00,    0.00,,,,,   35.44,   18.41,    0.00,    0.00,,,,,   35.23,   18.15,    0.00,    0.00,,,,,   36.10,   18.96,    0.00,    0.00,,,,,  143.19,   74.73,    0.00,    0.00,  217.92,   91.63,   19.84,    0.00,    0.00,,,,,   91.63,   20.09,    0.00,    0.00,,,,,   91.62,   19.90,    0.00,    0.00,,,,,   92.23,   19.95,    0.00,    0.00,,,,,  367.10,   79.77,    0.00,    0.00,  446.88, 9128.21,    0.00,    510.29,    154.50,      0.00,      0.00,  11204.92,    510.29,    154.50,    664.80
2026-01-14,17:58:27.746,   29.93,   16.04,    0.00,    0.00,,,,,   28.91,   15.17,    0.00,    0.00,,,,,   28.71,   15.01,    0.00,    0.00,,,,,   29.60,   15.74,    0.00,    0.00,,,,,  117.15,   61.97,    0.00,    0.00,  179.11,   84.91,   18.38,    0.00,    0.00,,,,,   85.00,   18.58,    0.00,    0.00,,,,,   84.61,   18.17,    0.00,    0.00,,,,,   85.22,   18.31,    0.00,    0.00,,,,,  339.75,   73.44,    0.00,    0.00,  413.19,11453.12,    0.00,    456.90,    135.41,      0.00,      0.00,  12236.41,    456.90,    135.41,    592.31
2026-01-14,17:58:28.746,   47.71,   22.31,    0.00,    0.00,,,,,   46.72,   21.58,    0.00,    0.00,,,,,   46.58,   21.40,    0.00,    0.00,,,,,   47.43,   22.12,    0.00,    0.00,,,,,  188.45,   87.42,    0.00,    0.00,  275.87,   90.37,   19.38,    0.00,    0.00,,,,,   90.15,   19.70,    0.00,    0.00,,,,,   89.97,   19.37,    0.00,    0.00,,,,,   90.56,   19.35,    0.00,    0.00,,,,,  361.06,   77.79,    0.00,    0.00,  438.85,12236.88,    0.00,    549.51,    165.21,      0.00,      0.00,  12903.48,    549.51,    165.21,    714.72
2026-01-14,17:58:29.745,   41.18,   19.81,    0.00,    0.00,,,,,   40.30,   19.03,    0.00,    0.00,,,,,   40.06,   18.81,    0.00,    0.00,,,,,   40.84,   19.58,    0.00,    0.00,,,,,  162.38,   77.24,    0.00,    0.00,  239.62,   79.80,   20.28,    0.00,    0.00,,,,,   79.47,   20.67,    0.00,    0.00,,,,,   79.07,   20.26,    0.00,    0.00,,,,,   80.10,   20.43,    0.00,    0.00,,,,,  318.45,   81.64,    0.00,    0.00,  400.09, 8804.75,    0.00,    480.83,    158.88,      0.00,      0.00,  10578.48,    480.83,    158.88,    639.70
2026-01-14,17:58:30.746,   39.14,   19.72,    0.00,    0.00,,,,,   38.24,   18.97,    0.00,    0.00,,,,,   38.09,   18.79,    0.00,    0.00,,,,,   38.80,   19.44,    0.00,    0.00,,,,,  154.27,   76.93,    0.00,    0.00,  231.20,   54.40,   17.79,    0.00,    0.00,,,,,   54.07,   18.08,    0.00,    0.00,,,,,   53.81,   17.69,    0.00,    0.00,,,,,   54.85,   18.08,    0.00,    0.00,,,,,  217.13,   71.64,    0.00,    0.00,  288.77, 8494.03,    0.00,    371.40,    148.57,      0.00,      0.00,  12618.61,    371.40,    148.57,    519.97
2026-01-14,17:58:31.746,   32.83,   17.44,    0.00,    0.00,,,,,   31.86,   16.65,    0.00,    0.00,,,,,   31.67,   16.51,    0.00,    0.00,,,,,   32.47,   17.13,    0.00,    0.00,,,,,  128.83,   67.72,    0.00,    0.00,  196.55,   88.88,   18.84,    0.00,    0.00,,,,,   88.63,   18.97,    0.00,    0.00,,,,,   88.44,   18.57,    0.00,    0.00,,,,,   89.31,   19.09,    0.00,    0.00,,,,,  355.26,   75.48,    0.00,    0.00,  430.74, 8587.54,    0.00,    484.09,    143.20,      0.00,      0.00,  12050.96,    484.09,    143.20,    627.30
