,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),CXL.mem_P0Write,CXL.cache_P0hst->dv,DRAMRead,DRAMWrite,PMMREAD,PMMWrite,CXLRead,Read,Write,Memory
2026-01-14,17:53:55.507,   71.54,   47.96,    0.00,    0.00,,,,,   72.80,   48.89,    0.00,    0.00,,,,,   68.88,   45.52,    0.00,    0.00,,,,,   76.26,   52.90,    0.00,    0.00,,,,,  289.48,  195.27,    0.00,    0.00,  484.75,   47.78,   29.56,    0.00,    0.00,,,,,   54.94,   35.86,    0.00,    0.00,,,,,   57.49,   38.53,    0.00,    0.00,,,,,   49.32,   30.44,    0.00,    0.00,,,,,  209.54,  134.39,    0.00,    0.00,  343.93,    0.74,    0.00,    499.02,    329.66,      0.00,      0.00,      1.96,    499.02,    329.66,    828.68
2026-01-14,17:53:56.507,   63.05,   45.45,    0.00,    0.00,,,,,   64.81,   46.81,    0.00,    0.00,,,,,   60.62,   43.44,    0.00,    0.00,,,,,   67.36,   49.98,    0.00,    0.00,,,,,  255.84,  185.68,    0.00,    0.00,  441.52,   42.62,   27.64,    0.00,    0.00,,,,,   48.42,   32.90,    0.00,    0.00,,,,,   51.50,   35.98,    0.00,    0.00,,,,,   42.99,   27.67,    0.00,    0.00,,,,,  185.53,  124.20,    0.00,    0.00,  309.73,    0.18,    0.00,    441.37,    309.88,      0.00,      0.00,      2.06,    441.37,    309.88,    751.25
2026-01-14,17:53:57.508,   85.01,   51.29,    0.00,    0.00,,,,,   87.66,   53.06,    0.00,    0.00,,,,,   82.94,   49.31,    0.00,    0.00,,,,,   88.88,   55.41,    0.00,    0.00,,,,,  344.49,  209.07,    0.00,    0.00,  553.56,   42.28,   27.70,    0.00,    0.00,,,,,   47.83,   32.83,    0.00,    0.00,,,,,   50.68,   35.79,    0.00,    0.00,,,,,   43.48,   28.39,    0.00,    0.00,,,,,  184.27,  124.71,    0.00,    0.00,  308.98,    0.15,    0.00,    528.76,    333.78,      0.00,      0.00,      2.08,    528.76,    333.78,    862.54
2026-01-14,17:53:58.508,   93.26,   52.78,    0.00,    0.00,,,,,   93.92,   53.18,    0.00,    0.00,,,,,   91.19,   51.09,    0.00,    0.00,,,,,   96.05,   55.71,    0.00,    0.00,,,,,  374.41,  212.76,    0.00,    0.00,  587.18,   38.10,   23.46,    0.00,    0.00,,,,,   41.58,   26.72,    0.00,    0.00,,,,,   43.40,   28.53,    0.00,    0.00,,,,,   38.83,   23.94,    0.00,    0.00,,,,,  161.90,  102.64,    0.00,    0.00,  264.54,    0.17,    0.00,    536.32,    315.40,      0.00,      0.00,      2.32,    536.32,    315.40,    851.72
2026-01-14,17:53:59.508,   45.05,   21.78,    0.00,    0.00,,,,,   44.29,   21.22,    0.00,    0.00,,,,,   44.26,   21.11,    0.00,    0.00,,,,,   45.12,   21.86,    0.00,    0.00,,,,,  178.73,   85.98,    0.00,    0.00,  264.71,   16.79,   13.36,    0.00,    0.00,,,,,   17.01,   13.60,    0.00,    0.00,,,,,   16.84,   13.41,    0.00,    0.00,,,,,   16.86,   13.44,    0.00,    0.00,,,,,   67.50,   53.81,    0.00,    0.00,  121.31,    0.10,    0.00,    246.23,    139.79,      0.00,      0.00,      1.80,    246.23,    139.79,    386.02
2026-01-14,17:54:00.508,   30.21,   15.29,    0.00,    0.00,,,,,   29.39,   14.80,    0.00,    0.00,,,,,   29.29,   14.68,    0.00,    0.00,,,,,   30.28,   15.33,    0.00,    0.00,,,,,  119.16,   60.10,    0.00,    0.00,  179.26,   20.42,   13.57,    0.00,    0.00,,,,,   20.32,   13.59,    0.00,    0.00,,,,,   20.27,   13.47,    0.00,    0.00,,,,,   20.43,   13.60,    0.00,    0.00,,,,,   81.45,   54.23,    0.00,    0.00,  135.68,    0.09,    0.00,    200.61,    114.33,      0.00,      0.00,      2.42,    200.61,    114.33,    314.95
2026-01-14,17:54:01.509,   40.85,   19.93,    0.00,    0.00,,,,,   40.17,   19.40,    0.00,    0.00,,,,,   40.06,   19.27,    0.00,    0.00,,,,,   40.93,   19.95,    0.00,    0.00,,,,,  162.02,   78.54,    0.00,    0.00,  240.56,   20.33,   13.73,    0.00,    0.00,,,,,   20.34,   13.81,    0.00,    0.00,,,,,   20.29,   13.72,    0.00,    0.00,,,,,   20.36,   13.77,    0.00,    0.00,,,,,   81.31,   55.03,    0.00,    0.00,  136.34,    0.09,    0.00,    243.33,    133.57,      0.00,      0.00,      2.43,    243.33,    133.57,    376.90
2026-01-14,17:54:02.510,   27.37,   15.00,    0.00,    0.00,,,,,   26.64,   14.48,    0.00,    0.00,,,,,   26.51,   14.32,    0.00,    0.00,,,,,   27.40,   15.00,    0.00,    0.00,,,,,  107.93,   58.79,    0.00,    0.00,  166.72,   15.78,   13.80,    0.00,    0.00,,,,,   15.61,   13.67,    0.00,    0.00,,,,,   15.54,   13.60,    0.00,    0.00,,,,,   15.76,   13.81,    0.00,    0.00,,,,,   62.69,   54.88,    0.00,    0.00,  117.57,    3.76,    0.00,    170.62,    113.68,      0.00,      0.00,     33.24,    170.62,    113.68,    284.30
2026-01-14,17:54:03.509,  107.75,   56.84,    0.00,    0.00,,,,,  106.56,   55.84,    0.00,    0.00,,,,,  105.57,   54.96,    0.00,    0.00,,,,,  108.03,   57.09,    0.00,    0.00,,,,,  427.92,  224.73,    0.00,    0.00,  652.65,   30.45,   17.30,    0.00,    0.00,,,,,   31.16,   18.11,    0.00,    0.00,,,,,   31.33,   18.34,    0.00,    0.00,,,,,   30.42,   17.21,    0.00,    0.00,,,,,  123.37,   70.95,    0.00,    0.00,  194.32,    9.71,    0.00,    551.29,    295.68,      0.00,      0.00,      2.92,    551.29,    295.68,    846.97
2026-01-14,17:54:04.509,  173.57,  121.08,    0.00,    0.00,,,,,  166.20,  113.26,    0.00,    0.00,,,,,  161.38,  110.12,    0.00,    0.00,,,,,  179.76,  127.34,    0.00,    0.00,,,,,  680.92,  471.79,    0.00,    0.00, 1152.71,   67.84,   40.66,    0.00,    0.00,,,,,   76.03,   48.37,    0.00,    0.00,,,,,   81.68,   54.38,    0.00,    0.00,,,,,   68.60,   40.99,    0.00,    0.00,,,,,  294.14,  184.40,    0.00,    0.00,  478.54,    5.56,    0.00,    975.06,    656.19,      0.00,      0.00,      2.31,    975.06,    656.19,   1631.25
